# DSRRL SpecRGB exact logical-name corpus v1
# recovered source: recovered-source/1.45/v12/asset_integrated_v12.c
# recovered source SHA256: 879b3ec251c36969cf7eabcc5b63164da7c17b6577e74b013e47f7866b3236e2
# recovered symbol: k_spec_names
# exact logical-name count: 769
spec_hash	logical_name
9c41c3c81235606a	wp_a_0106_mailbreaker_s
9c424ef0dd56e481	wp_a_1304_s
9d3e4a05cba0020a	am_m_9410_s
9e18c669560f00be	wp_a_0302_s
9e3557325fb8b50e	am_a_9560_s
9e7e95d7491ec5bb	wp_a_1539_s
9e8f19d9bd3de750	bd_f_9480_s
9f18f872511dde0e	wp_a_0908_s
9f2213238b6da7a4	am_a_9500_s
9f2eb26925dd0525	lg_m_9250_s
9f4bf85e31fc9961	bd_f_9371_1_s
9f5ae527c6849424	bd_f_9270_bd_m_9270_2_s
9fd466758d319e69	hd_m_9289_hd_m_9280_s
9fe14149b78f1a40	bd_m_9280_2_s
9ff70f9e93ea9ca6	wp_a_0203_s
a00ab18b782ec3e9	wp_a_0505_s
a01c31fc24bea1d9	lg_m_9430_s
a060d9ff82b163c4	wp_a_0605_s
a0c57ccebe3f6a11	wp_a_1502_s
a0cf933b0aed3272	am_m_9371_s
a1046967b86c0901	bd_m_9720_2_s
a13eb0c737c99a47	hd_m_9370_s
a173d6c0bf8dac82	hd_m_9430_s
a1ff577f04bbd9d1	lg_f_9540_lg_m_9540_s
a2b1f01e51e81531	lg_f_9440_lg_m_9440_s
a42d368f300e2b0d	wp_a_0260_s
a45ce319bc67819c	wp_a_0652_s
a512678e62825b6f	bd_f_9341_2_s
a53dd88b5de3439d	hd_f_9260_hd_m_9260_s
a5c1295e35050ae4	bd_f_9371_2_s
a678cd410ec84fb2	hr_f_0005_s
a74111725597bb49	wp_a_0909_s
a744cc3b0df5b18d	am_m_9370_s
a77ffdf25d021b7c	lg_f_9300_s
a79357a7364c6e6f	bd_a_9570_1_s
a814adcec2017f54	wp_a_1501_s
a92c9a67bce60f04	bd_m_9720_1_s
a9daaf350d42f7a5	bd_f_9372_2_s
a9ec8d75b729bca1	lg_f_2870_lg_m_2870_s
aaabce6ae51b3f3c	hd_m_9380_s
aaac489e9a8fe881	wp_a_0202_s
aab31958cdb47005	hd_m_9230_hd_f_9230_s
aabee28b7ed24f2c	wp_a_0506_s
aadb81c4a2c61867	wp_a_1401_s
ab0c3d763e2dbe39	hd_f_9610_hd_m_9610_s
ab15f2ff8956793f	wp_a_0604_s
ab322bd6546d34e8	lg_m_9370_s
ac851c19c0e19537	wp_a_0653_s
aeb095a18567b061	hd_f_9400_hd_m_9400_s
aedd13872d25cffb	hd_a_9550_s
aee2478f36b332f0	wp_a_0263_s
b01c10696074787c	wp_a_0300_s
b04fe035104b6928	bd_f_9372_1_s
b055064114b5aacd	hr_f_0004_s
b0b2a217ba5f0da7	hd_a_2780_s
b10255d470c619dd	bd_f_5320_bd_m_5320_1_s
b102c3f8793a9601	lg_f_9490_lg_m_9490_s
b1321d373ba667c1	am_m_5370_s
b209306e811bf2d5	bd_a_9250_2_s
b20e1b8b82947207	wp_a_0507_s
b28044d6582d6e63	lg_m_9371_s
b2d4799e9f09ee84	wp_a_0201_s
b3278e15a0727b96	bd_m_9410_1_s
b333a6153e5bfefc	am_m_9430_s
b37688ecf31f1f39	bd_f_9620_2_s
b570600e6207d149	hd_a_5350_s
b5841bff8d04d31f	hd_a_5370_s
b5b652d030d84b54	hd_m_9410_s
b603562f15e52bc5	bd_a_2570_2_s
b65b14d6a9cdb411	hd_m_9350_s
b73e2e38d914a8f1	hd_f_9360_s
b76f6095a649b62f	wp_a_0406_s
b79b55a16872d86e	hd_a_9500_s
b81850a02a5417bf	hd_m_9280_s
b8b087965e7b2195	am_m_9480_am_f_9480_s
